Group,Kanji,Hiragana,Viet,Status
1,侵略する,しんりゃくする,xâm lược,NG
1,復興する,ふっこうする,"phục hưng, hồi phục lại",Test
1,戦争から復興する,せんそうからふっこうする,"tái thiết, phục hồi sau chiến tranh.",Test
1,古代文明,こだいぶんめい,văn minh cổ đại,NG
1,繁栄する,はんえいする,phồn vinh,NG
1,衰退する,すいたいする,suy thoái,Test
1,内戦,ないせん,nội chiến,Test
1,紛争,ふんそう,"xung đột, tranh chấp",NG
1,分断,ぶんだん,"chia cắt, sự phân tách",NG
1,東西,とうざい,phương đông và phương tây,Test
1,国が東西に分断される,くにがとうざいにぶんだんされる,đất nước bị chia cách thành 2 miền đông tây,Test
1,～を発掘する,～をはっくつする,~ khai quật,NG
1,遺跡,いせき,di tích,NG
1,住居跡,じゅうきょあと,địa điểm cư trú. địa điểm định cư (thời tiền sử),Test
1,軍事力,ぐんじりょく,sức mạnh quân đội,NG
1,増強する,ぞうきょうする,"tăng cường, củng cố",Test
1,漢民族,かんみんぞく,hán tộc,NG
1,遊牧民族,ゆうぼくみんぞく,dân du mục,NG
1,傷跡,きずあと,"vết sẹo, vết thương lòng",OK
1,再三,さいさん,5 lần 7 lượt; nhiều lần,OK
1,一向に,いっこうに,mãi không. không lắm. hoàn toàn (không),Test
1,大幅に,おおはばに,mạnh mẽ; rộng rãi. khá; tương đối,NG
1,抜本的に,ばっぽんてきに,"mạnh mẽ, triệt để; tận gốc",NG
1,強ち,あながち,"không hẳn là, không nhất thiết",NG
1,格差,かくさ,"khoảng cách, chênh lệch",Test
1,すり替える,すりかえる,"đánh trống lảng, đảo lộn, tráo",Test
1,急速に,きゅうそくに,nhanh chóng,Test
1,貧困層,ひんこんそう,tầng lớp nghèo. người nghèo,NG
1,富裕層,ふゆうそう,"tầng lớp giàu có, giới thượng lưu",NG
1,～が急速に広がる,～がきゅうそくにひろがる,lan ra nhanh chóng,OK
1,雇用,こよう,tuyển dụng; thuê người làm,OK
1,雇用の安定を図る,こようのあんていをはかる,ổn định công ăn việc làm,Test
1,健康保険,けんこうほけん,bảo hiểm sức khỏe,OK
1,～に加入する,～にかにゅうする,tham gia vào ~,OK
1,促進する,そくしんする,"thúc đẩy, khuyến khích, tăng cường",NG
1,女性の就業を促進する,じょせいのしゅうぎょうをそくしんする,thúc đẩy việc làm cho nữ giới,NG
1,推進する,すいしんする,"đẩy mạnh, xúc tiến, thúc đẩy",Test
1,年金,ねんきん,lương hưu,OK
1,受給する,じゅきゅうする,"hưởng, nhận được (tiền hoặc trợ cấp)",NG
1,支給する,しきゅうする,cung cấp. chu cấp. thanh toán. chi trả (lương...),Test
1,少子高齢化,しょうしこうれいか,tỷ lệ sinh giảm và già hóa dân số,Test
1,少子化,しょうしか,tỷ lệ sinh thấp,NG
1,高齢化,こうれいか,già hóa dân số,OK
1,出生率,しゅっせいりつ,tỉ lệ sinh,Test
1,未婚率,みこんりつ,tỉ lệ người chưa kết hôn,Test
1,～が低下する,～がていかする,"giảm, suy giảm, kém đi",Test
1,～が上昇する,～がじょうしょうする,tăng lên,NG
1,平均寿命,へいきんじゅみょう,tuổi thọ trung bình,NG
1,～が延びる,～がのびる,giãn ra; tăng lên; phát triển lên; (thời gian) kéo dài thêm,OK
1,長寿国,ちょうじゅこく,nước có tuổi thọ cao,NG
1,世界一,せかいいち,nhất thế giới,Test
1,還暦,かんれき,"lên lão, tròn 60 tuổi",Test
1,還暦を迎える,かんれきをむかえる,mừng lên lão  60,Test
1,人口構造,じんこうこうぞう,cơ cấu dân số,Test
1,介護福祉士,かいごふくしし,nhân viên chăm sóc/ điều dưỡng (có bằng chứng nhận),NG
1,介護士,かいごし,điều dưỡng viên (chăm sóc người già ...),NG
1,高齢者,こうれいしゃ,người cao tuổi,Test
1,～を介護する,～をかいごする,"chăm sóc, trông nom (người cao tuổi)",OK
1,ケアする,けあする,"chăm sóc, trông",Test
1,看護する,かんごする,"chăm sóc bệnh nhân, hỗ trợ trong quá trình điều trị",NG
1,父母,ふぼ,cha mẹ,Test
1,～が老いる,～がおいる,già đi già theo tuổi tác,Test
1,老ける,ふける,"già đi, già dặn (vẻ bề ngoài so với tuổi, suy nghĩ già dặn)",Test
1,若返る,わかがえる,trẻ lại,NG
1,老後,ろうご,"tuổi già, khi về già",OK
1,老後に備えて貯金する,ろうごにそなえてちょきんする,tiết kiệm tiền phòng khi tuổi già,NG
1,乳幼児,にゅうようじ,trẻ sơ sinh,Test
1,激減する,げきげんする,giảm mạnh,NG
1,激増する,げきぞうする,tăng mạnh,NG
1,産休,さんきゅう,"nghỉ sinh, nghỉ thai sản",Test
1,産前産後休暇,さんぜんさんごきゅうか,nghỉ trước và sau sinh đẻ,Test
1,育休,いくきゅう,nghỉ để chăm sóc con nhỏ (sau thời gian nghỉ thai sản),OK
1,育児休暇,いくじきゅうか,nghỉ thai sản (nuôi con nhỏ),Test
1,福利厚生,ふくりこうせい,chế độ phúc lợi,Test
1,充実させる,じゅうじつさせる,làm cho đủ đầy. phong phú. trọn vẹn. ý nghĩa.,Test
1,会社が福利厚生/を充実させる,かいしゃがふくりこうせい/をじゅうじつさせる,công ty làm phong phú chế độ phúc lợi,NG
1,取り組む,とりくむ,nỗ lực. chuyên tâm (giải quyết vấn đề),Test
1,軽視する,けいしする,xem nhẹ.coi thường. khinh thường,NG
1,重視する,じゅうしする,coi trọng...,Test
1,両立させる,りょうりつさせる,cân bằng (giữa công việc và gia đình),Test
1,こなす,こなす,"nắm vững. thành thạo. thành thục (công việc, nhiệm vụ)",Test
1,先進国,せんしんこく,nước phát triển,NG
1,発展途上国,はってんとじょうこく,nước đang phát triển,NG
1,若年層,じゃくねんそう,tầng lớp trẻ,NG
1,中高年層,ちゅうこうねんそう,lứa tuổi trung niên,NG
1,平均年齢,へいきんねんれい,độ tuổi trung bình,Test
1,保育士,ほいくし,giáo viên mầm non. người giáo viên mầm non,OK
1,長期休暇,ちょうききゅうか,nghỉ phép kéo dài. kỳ nghỉ dài,OK
1,産業構造,さんぎょうこうぞう,cơ cấu ngành nghề công nghiệp,Test
1,失業者,しつぎょうしゃ,người thất nghiệp,OK
1,障害者,しょうがいしゃ,người khuyết tật,OK
1,てきぱき,てきぱき,nhanh nhẹn. tháo vát. thạo việc,Test
1,いよいよ,いよいよ,ngày càng. cuối cùng điều mong chờ cũng tới,NG
1,しっかり,しっかり,chặt chẽ. chắc chắn. mạnh mẽ,NG
1,めっきり,めっきり,rõ ràng. đột ngột. thấy rõ. cực kỳ. kinh khủng,NG
